collection_kit_id	ck_number	sample_id	sample_number	sample_type	usage_type	container	additional_info	scheduled_date	ck_collection_date	ck_collect_time	collected_date	collected_time	collection_method	animal_id	diet_no	recipe_number	recipe_change_number	material_number	lot_number	substance_number	substance_change_number	date_code	batch_code	formula_req_info_id	test_id	test_number	cp_phase	test_day	test_num_or_med_test_name	primary_investigator	requester_name	ck_is_deleted	sample_is_deleted	sent_to_lab_date	is_partial	sample_created_date	sample_modified_date	received_by	storage_condition	sample_status	special_instructions	io_number	io_description	instructions_to_lab	ck_location	sample_location	analysis_lab	is_result_completed	work_plan_number	work_plan_name	work_plan_type	chamber_name	pull_number	physcl_anlys_type	work_plan_investigator	shipment_tracking_no	po_number	priority	is_rush_smpl	ext_lab_sample_num	non_compliant	restriction_name	prep_mthd_id	prepmethod	year	month	dag_id	dag_run_id	dr_load_date
58035750	F-50179207	2198078	F-50179207-005S	Feces	Secondary	Cryovial 2 mL		2020-02-24	2020-02-24	pre feeding	2020-03-12		NA	13829											95400	105536	Treatment (test)	66	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	0	0	2020-03-12	N	2019-11-21	2024-10-17	Rebecca Collins	NA	Available		101186	101186 Gastrointestinal Investigation			GEN-70 - All - 1	C9-Analytical Research Lab	Yes										A1	No		No		866	Snap Freeze Feces	2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035784	F-50179241	2198214	F-50179241-005S	Feces	Secondary	Cryovial 2 mL		2020-01-21	2020-01-21	pre feeding	2020-01-24		NA	14643											95400	105536	Treatment (test)	32	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	0	0	2020-01-24	N	2019-11-21	2024-10-17	Rebecca Collins	NA	Available		101186	101186 Gastrointestinal Investigation			GEN-70 - All - 1	C9-Analytical Research Lab	Yes										A1	No		No		866	Snap Freeze Feces	2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035790	F-50179247	2198236	F-50179247-003S	Feces	Secondary	Cryovial 2 mL		2020-02-24	2020-02-24	pre feeding	2020-03-12		NA	14671											95400	105536	Treatment (test)	66	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	0	0	2020-03-12	N	2019-11-21	2024-10-17	Nicole Green	NA	Available		101186	101186 Gastrointestinal Investigation			GEN-70 - All - 1	B1-Life Sciences	No										A1	No		No		866	Snap Freeze Feces	2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035622	F-50179079	2197522	F-50179079-001P	Feces	Primary	Bag		2019-12-16	2019-12-16	pre feeding	2019-12-16	11:00 AM	NA	17237											95400	105536	Pre-Feed	24	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	0	0		N	2019-11-21	2021-02-27	Ariane Piper		Available		101186	101186 Gastrointestinal Investigation			ARL Nitrogen Cabinet #1 - All - All	C9-Analytical Research Lab, C9-Food Science Lab	Yes										A1	No		No				2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035632	F-50179089	2197567	F-50179089-001P	Feces	Primary	Bag		2019-12-16	2019-12-16	pre feeding	2019-12-16	11:00 AM	NA	14689											95400	105536	Pre-Feed	24	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	0	0		N	2019-11-21	2021-02-27	Ariane Piper		Available		101186	101186 Gastrointestinal Investigation			ARL Nitrogen Cabinet #1 - All - All	C9-Analytical Research Lab, C9-Food Science Lab	Yes										A1	No		No				2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035634	F-50179091	2197579	F-50179091-004S	Feces	Secondary	Cryovial 2 mL		2019-12-16	2019-12-16	pre feeding	2019-12-26		NA	13829											95400	105536	Pre-Feed	24	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	0	0	2020-03-23	N	2019-11-21	2020-03-23	Nicole Green		Pending Shipment		101186	101186 Gastrointestinal Investigation				Metabolon Inc	No										A1	No		No		866	Snap Freeze Feces	2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035634	F-50179091	2197584	F-50179091-009S	Feces	Secondary	Cryovial TAMU pre-weighed		2019-12-16	2019-12-16	pre feeding	2019-12-26		NA	13829											95400	105536	Pre-Feed	24	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	0	0	2020-09-28	N	2019-11-21	2020-09-28			Sent to Lab (External)		101186	101186 Gastrointestinal Investigation				MLM Medical Lab (formerly MD Biosciences)	No								1Z6912930159758006	7000015659	A1	No		No				2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035636	F-50179093	2197586	F-50179093-002S	Feces	Secondary	Cryovial 2 mL		2019-12-17	2019-12-17	pre feeding	2019-12-26		NA	15068											95400	105536	Pre-Feed	24	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	0	0	2020-03-30	N	2019-11-21	2020-03-30	Nicole Green		Sent to Lab (External)		101186	101186 Gastrointestinal Investigation				Metabolon Inc	No								1Z6912930160070942	 7000008276	A1	No		No		866	Snap Freeze Feces	2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035638	F-50179095	2197599	F-50179095-006S	Feces	Secondary	Cryovial 2 mL		2019-12-16	2019-12-16	pre feeding	2019-12-26		NA	15078											95400	105536	Pre-Feed	24	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	0	0	2020-03-23	N	2019-11-21	2020-03-23			Sent to Lab (External)		101186	101186 Gastrointestinal Investigation				MLM Medical Lab (formerly MD Biosciences)	No								1Z6912930160702894	 7000008171	A1	No		No		866	Snap Freeze Feces	2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035640	F-50179097	2197608	F-50179097-006S	Feces	Secondary	Cryovial 2 mL		2019-12-16	2019-12-16	pre feeding	2019-12-26		NA	7068											95400	105536	Pre-Feed	24	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	0	0	2020-03-23	N	2019-11-21	2020-03-23			Sent to Lab (External)		101186	101186 Gastrointestinal Investigation				MLM Medical Lab (formerly MD Biosciences)	No								1Z6912930160702894	 7000008171	A1	No		No		866	Snap Freeze Feces	2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035648	F-50179105	2197645	F-50179105-007S	Feces	Secondary	Cryovial 2 mL		2019-12-16	2019-12-16	pre feeding	2019-12-26		NA	15306											95400	105536	Pre-Feed	24	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	0	0	2020-03-23	N	2019-11-21	2020-03-23			Sent to Lab (External)		101186	101186 Gastrointestinal Investigation				MLM Medical Lab (formerly MD Biosciences)	No								1Z6912930160779688	 7000008171	A1	No		No		866	Snap Freeze Feces	2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035648	F-50179105	2197646	F-50179105-008S	Feces	Secondary	Cryovial 2 mL		2019-12-16	2019-12-16	pre feeding	2019-12-26		NA	15306											95400	105536	Pre-Feed	24	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	0	0		N	2019-11-21	2019-12-26			Disposed		101186	101186 Gastrointestinal Investigation					No										A1	No		No		866	Snap Freeze Feces	2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035651	F-50179108	2197658	F-50179108-002S	Feces	Secondary	Cryovial 2 mL		2019-12-16	2019-12-16	pre feeding	2019-12-26		NA	14643											95400	105536	Pre-Feed	24	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	0	0	2020-03-30	N	2019-11-21	2020-03-30	Nicole Green		Sent to Lab (External)		101186	101186 Gastrointestinal Investigation				Metabolon Inc	No								1Z6912930160070942	 7000008276	A1	No		No		866	Snap Freeze Feces	2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035659	F-50179116	2197693	F-50179116-001P	Feces	Primary	Bag		2019-12-16	2019-12-16	pre feeding	2019-12-16	11:00 AM	NA	14699											95400	105536	Pre-Feed	24	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	0	0		N	2019-11-21	2021-02-27	Ariane Piper		Available		101186	101186 Gastrointestinal Investigation			ARL Nitrogen Cabinet #1 - All - All	C9-Analytical Research Lab, C9-Food Science Lab	Yes										A1	No		No				2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035665	F-50179122	2197720	F-50179122-001P	Feces	Primary	Bag		2019-12-16	2019-12-16	pre feeding	2019-12-16	11:00 AM	NA	14681											95400	105536	Pre-Feed	24	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	0	0		N	2019-11-21	2021-02-27	Ariane Piper		Available		101186	101186 Gastrointestinal Investigation			ARL Nitrogen Cabinet #1 - All - All	C9-Analytical Research Lab, C9-Food Science Lab	Yes										A1	No		No				2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035665	F-50179122	2197726	F-50179122-007S	Feces	Secondary	Cryovial 2 mL		2019-12-16	2019-12-16	pre feeding	2019-12-26		NA	14681											95400	105536	Pre-Feed	24	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	0	0	2020-03-23	N	2019-11-21	2020-03-23			Sent to Lab (External)		101186	101186 Gastrointestinal Investigation				MLM Medical Lab (formerly MD Biosciences)	No								1Z6912930160779688	 7000008171	A1	No		No		866	Snap Freeze Feces	2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035680	F-50179137	2197795	F-50179137-004S	Feces	Secondary	Cryovial 2 mL		2019-12-16	2019-12-16	pre feeding	2019-12-26		NA	16241											95400	105536	Pre-Feed	24	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	0	0	2020-03-23	N	2019-11-21	2020-03-23	Nicole Green		Pending Shipment		101186	101186 Gastrointestinal Investigation				Metabolon Inc	No										A1	No		No		866	Snap Freeze Feces	2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035686	F-50179143	2197823	F-50179143-006S	Feces	Secondary	Cryovial 2 mL		2020-01-21	2020-01-21	pre feeding	2020-01-24		NA	13973											95400	105536	Treatment (test)	32	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	0	0	2020-03-23	N	2019-11-21	2020-03-23			Sent to Lab (External)		101186	101186 Gastrointestinal Investigation				MLM Medical Lab (formerly MD Biosciences)	No								1Z6912930160702894	 7000008171	A1	No		No		866	Snap Freeze Feces	2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035690	F-50179147	2197840	F-50179147-007S	Feces	Secondary	Cryovial 2 mL		2020-01-21	2020-01-21	pre feeding	2020-01-24		NA	7795											95400	105536	Treatment (test)	32	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	0	0	2020-03-23	N	2019-11-21	2020-03-23	Rachel Rusk		Sent to Lab (External)		101186	101186 Gastrointestinal Investigation				MLM Medical Lab (formerly MD Biosciences)	No								1Z6912930160779688	 7000008171	A1	No		No		866	Snap Freeze Feces	2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035692	F-50179149	2197845	F-50179149-004S	Feces	Secondary	Cryovial 2 mL		2020-02-24	2020-02-24	pre feeding	2020-03-12		NA	7795											95400	105536	Treatment (test)	66	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	0	0	2020-03-23	N	2019-11-21	2020-03-23	Nicole Green		Pending Shipment		101186	101186 Gastrointestinal Investigation				Metabolon Inc	No										A1	No		No		866	Snap Freeze Feces	2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035700	F-50179157	2197874	F-50179157-001P	Feces	Primary	Bag		2020-01-21	2020-01-21	pre feeding	2020-01-21		NA	13839											95400	105536	Treatment (test)	32	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	0	0		N	2019-11-21	2021-02-27	Chelly Sumner		Disposed		101186	101186 Gastrointestinal Investigation				C9-Analytical Research Lab, C9-Food Science Lab	Yes										A1	No		No				2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035704	F-50179161	2197895	F-50179161-006S	Feces	Secondary	Cryovial 2 mL		2020-01-21	2020-01-21	pre feeding	2020-01-24		NA	15181											95400	105536	Treatment (test)	32	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	0	0	2020-03-23	N	2019-11-21	2020-03-23			Sent to Lab (External)		101186	101186 Gastrointestinal Investigation				MLM Medical Lab (formerly MD Biosciences)	No								1Z6912930160702894	 7000008171	A1	No		No		866	Snap Freeze Feces	2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035706	F-50179163	2197903	F-50179163-006S	Feces	Secondary	Cryovial 2 mL		2020-02-24	2020-02-24	pre feeding	2020-03-12		NA	13869											95400	105536	Treatment (test)	66	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	0	0	2020-03-23	N	2019-11-21	2020-03-23			Sent to Lab (External)		101186	101186 Gastrointestinal Investigation				MLM Medical Lab (formerly MD Biosciences)	No								1Z6912930160702894	 7000008171	A1	No		No		866	Snap Freeze Feces	2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035710	F-50179167	2197919	F-50179167-006S	Feces	Secondary	Cryovial 2 mL		2020-02-24	2020-02-24	pre feeding	2020-03-12		NA	13827											95400	105536	Treatment (test)	66	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	0	0	2020-03-23	N	2019-11-21	2020-03-23			Sent to Lab (External)		101186	101186 Gastrointestinal Investigation				MLM Medical Lab (formerly MD Biosciences)	No								1Z6912930160702894	 7000008171	A1	No		No		866	Snap Freeze Feces	2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035721	F-50179178	2197954	F-50179178-001P	Feces	Primary	Bag		2020-01-21		pre feeding			NA	13832											95400	105536	Treatment (test)	32	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	1	1		N	2019-11-21	2020-01-17			Created		101186	101186 Gastrointestinal Investigation					No										A1	No		No				2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035723	F-50179180	2197964	F-50179180-003S	Feces	Secondary	Cryovial 2 mL		2020-02-24		pre feeding			NA	13832											95400	105536	Treatment (test)	66	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	1	1		N	2019-11-21	2020-01-17			Created		101186	101186 Gastrointestinal Investigation					No										A1	No		No		866	Snap Freeze Feces	2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035723	F-50179180	2197967	F-50179180-006S	Feces	Secondary	Cryovial 2 mL		2020-02-24		pre feeding			NA	13832											95400	105536	Treatment (test)	66	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	1	1		N	2019-11-21	2020-01-17			Created		101186	101186 Gastrointestinal Investigation					No										A1	No		No		866	Snap Freeze Feces	2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035729	F-50179186	2197986	F-50179186-001P	Feces	Primary	Bag		2020-01-21	2020-01-21	pre feeding	2020-01-21		NA	13869											95400	105536	Treatment (test)	32	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	0	0		N	2019-11-21	2021-02-27	Chelly Sumner		Disposed		101186	101186 Gastrointestinal Investigation				C9-Analytical Research Lab, C9-Food Science Lab	Yes										A1	No		No				2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035741	F-50179198	2198035	F-50179198-002S	Feces	Secondary	Cryovial 2 mL		2020-02-24	2020-02-24	pre feeding	2020-03-12		NA	15069											95400	105536	Treatment (test)	66	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	0	0	2020-03-30	N	2019-11-21	2020-03-30	Nicole Green		Sent to Lab (External)		101186	101186 Gastrointestinal Investigation				Metabolon Inc	No								1Z6912930160070942	 7000008276	A1	No		No		866	Snap Freeze Feces	2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035754	F-50179211	2198095	F-50179211-006S	Feces	Secondary	Cryovial 2 mL		2020-02-24	2020-02-24	pre feeding	2020-03-12		NA	15068											95400	105536	Treatment (test)	66	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	0	0	2020-03-23	N	2019-11-21	2020-03-23			Sent to Lab (External)		101186	101186 Gastrointestinal Investigation				MLM Medical Lab (formerly MD Biosciences)	No								1Z6912930160702894	 7000008171	A1	No		No		866	Snap Freeze Feces	2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035756	F-50179213	2198101	F-50179213-004S	Feces	Secondary	Cryovial 2 mL		2020-01-21	2020-01-21	pre feeding	2020-01-24		NA	14694											95400	105536	Treatment (test)	32	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	0	0	2020-03-23	N	2019-11-21	2020-03-23	Rachel Rusk		Pending Shipment		101186	101186 Gastrointestinal Investigation				Metabolon Inc	No										A1	No		No		866	Snap Freeze Feces	2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
58035756	F-50179213	2198103	F-50179213-006S	Feces	Secondary	Cryovial 2 mL		2020-01-21	2020-01-21	pre feeding	2020-01-24		NA	14694											95400	105536	Treatment (test)	32	FP885.1.1.0-A-C-D-ADH-MULTI-112-MULTI	Matthew Jackson	Matthew Jackson	0	0	2020-03-23	N	2019-11-21	2020-03-23			Sent to Lab (External)		101186	101186 Gastrointestinal Investigation				MLM Medical Lab (formerly MD Biosciences)	No								1Z6912930160702894	 7000008171	A1	No		No		866	Snap Freeze Feces	2019	11	hills-rd-etl-spark-demo	manual__2024-12-09T21:15:45.864051+00:00	2024-12-09 21:42:24.000 -0500
