id	T1_LoCHO_FAT_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC	P	level1	level2	level3	ko_name	color	sig
K18908	829.879175859941	1119.24318841818	-1.44997131543238	0.952631816734275	-0.431550326836857	0.047368183265725	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mepA; MATE family, multidrug efflux pump	blue	sig
K18856	0.635050100550448	0.798516280053389	-0.188092114119228	0.277873289377308	-0.330451407552393	0.722126710622692	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanC, vanE, vanG; D-alanine---D-serine ligase [EC:6.3.2.35]	lightblue	notsig
K07660	0.617132392989775	0.752193637644616	-0.15179308632652	0.17883603117588	-0.285524080579376	0.82116396882412	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	phoP; two-component system, OmpR family, response regulator PhoP	lightblue	notsig
K08167	0.489812441470546	0.582413234087699	-0.16968897506344	0.233694112525262	-0.24981371853782	0.766305887474738	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	smvA, qacA, lfrA; MFS transporter, DHA2 family, multidrug resistance protein	lightblue	notsig
K05593	1.13332565881008	1.31381468083195	-0.106583677477688	0.0260676877491338	-0.213199315518204	0.973932312250866	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aadK; aminoglycoside 6-adenylyltransferase [EC:2.7.7.-]	lightblue	notsig
K19271	12.6282962820507	14.5459504241905	-0.142145154345286	0.141522972409382	-0.203957550072885	0.858477027590618	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	catA; chloramphenicol O-acetyltransferase type A [EC:2.3.1.28]	lightblue	notsig
K18907	2.18356650928884	2.48784815571802	-0.101937974759678	0.0162188807802777	-0.188211959291307	0.983781119219722	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	norG; GntR family transcriptional regulator, regulator for abcA and norABC	lightblue	notsig
K14188	0.469730157694283	0.529835602566087	-0.112807688048005	0.041130498357666	-0.173712568855627	0.958869501642334	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dltC; D-alanine--poly(phosphoribitol) ligase subunit 2 [EC:6.1.1.13]	lightblue	notsig
K13632	6.84541196812882	7.58647798824689	-0.0819904061359302	0.00295901190424575	-0.148292904063846	0.997040988095754	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	marA; AraC family transcriptional regulator, mar-sox-rob regulon activator	lightblue	notsig
K18792	0.652965676652138	0.710244354353681	-0.0690334600169437	0.0342926383700962	-0.121308300609845	0.965707361629904	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	blaOXA-10; beta-lactamase class D OXA-10 [EC:3.5.2.6]	lightblue	notsig
K18347	0.484642008050627	0.525242998486058	-0.084233720444077	0.00101706984008521	-0.116065564957479	0.998982930159915	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanH; D-specific alpha-keto acid dehydrogenase [EC:1.1.1.-]	lightblue	notsig
K21252	0.502830258304544	0.538503596872201	-0.0696954557134642	0.0319275440791301	-0.0988845131541897	0.96807245592087	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	fosX; fosfomycin resistance protein FosX	lightblue	notsig
K18898	77.6722851926619	82.269571073073	-0.0845533849907771	0.000829873814215398	-0.0829590097358813	0.999170126185785	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mdtE; membrane fusion protein, multidrug efflux system	lightblue	notsig
K18230	0.517265336067175	0.545063643477389	-0.0516305672748254	0.118056186798622	-0.0755201794284766	0.881943813201378	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tylC, oleB, carA, srmB; macrolide transport system ATP-binding/permease protein	lightblue	notsig
K18899	3.16476327502137	3.32805408908106	-0.027649479844912	0.272233000044851	-0.0725812912317514	0.727766999955149	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mdtF; multidrug efflux pump	lightblue	notsig
K02546	0.549248709299246	0.568079116046052	-0.0318201337216489	0.243725423185806	-0.0486322926088282	0.756274576814194	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mecI; BlaI family transcriptional regulator, methicillin resistance regulatory protein	lightblue	notsig
K18591	3.68535980314107	3.81019134653568	-0.0245926925827912	0.293283505325905	-0.0480579741143671	0.706716494674095	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dfrD, dhfr; dihydrofolate reductase (trimethoprim resistance protein) [EC:1.5.1.3]	lightblue	notsig
K18221	33.5007634034941	34.4672054825461	-0.0154583915440481	0.355629372283999	-0.0410303616636774	0.644370627716001	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tetX; tetracycline 11a-monooxygenase, tetracycline resistance protein [EC:1.14.13.231]	lightblue	notsig
K18552	0.486119717374409	0.486248701827651	-0.000286192223221393	0.450037258810031	-0.000382746350993661	0.549962741189969	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	cmlA, cmlB, floR; MFS transporter, DHA1 family, chloramphenicol/florfenicol resistance protein	lightblue	notsig
K02171	0.518777875196138	0.516498474992825	0.00447486390455339	0.475895050772854	0.00635286352808381	0.524104949227146	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	blaI; BlaI family transcriptional regulator, penicillinase repressor	pink	notsig
K19591	3.90906446043998	3.86822262847254	0.00718706639769447	0.489760428838768	0.0151525459759929	0.510239571161232	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	cueR; MerR family transcriptional regulator, copper efflux regulator	pink	notsig
K12570	0.51199541134933	0.506488312914279	0.0117014926798317	0.511521598231603	0.0156019008351176	0.488478401768397	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aphD, strA; streptomycin 6-kinase [EC:2.7.1.72]	pink	notsig
K08151	0.498108573028902	0.492528262285348	0.0115809024242171	0.510961040601866	0.0162537299318606	0.489038959398134	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tetA; MFS transporter, DHA1 family, tetracycline resistance protein	pink	notsig
K18590	0.494083172375772	0.487012080352731	0.0140744104738329	0.522348338111602	0.0207963620514783	0.477651661888398	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dfrA12, dhfr; dihydrofolate reductase (trimethoprim resistance protein) [EC:1.5.1.3]	pink	notsig
K03585	94.0135089994555	92.1785845857383	0.0292272546223866	0.583095260150464	0.0284364605068748	0.416904739849536	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	acrA, mexA, adeI, smeD, mtrC, cmeA; membrane fusion protein, multidrug efflux system	pink	notsig
K19276	0.515202010371132	0.505064711892545	0.0211100185017601	0.552237426100904	0.0286699766376505	0.447762573899096	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aac3-IV; aminoglycoside 3-N-acetyltransferase IV [EC:2.3.1.81]	pink	notsig
K09476	0.51199541134933	0.501818767761555	0.0221341456000252	0.556335134340398	0.0289644526317206	0.443664865659602	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	ompF; outer membrane pore protein F	pink	notsig
K18234	10.736120115848	10.5134640863382	0.0167970164923662	0.534289212139609	0.0302346157189029	0.465710787860391	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vat; virginiamycin A acetyltransferase [EC:2.3.1.-]	pink	notsig
K08217	889.837019380145	870.496332753084	0.0813598593300822	0.693441234755254	0.0317028993077332	0.306558765244746	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mef; MFS transporter, DHA3 family, macrolide efflux protein	pink	notsig
K19098	0.518777875196138	0.507139346546157	0.0250877848169042	0.567818226231201	0.0327347423009157	0.432181773768799	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	blaOXA-9; beta-lactamase class D OXA-9 [EC:3.5.2.6]	pink	notsig
K08160	0.508835318799223	0.493340213427884	0.0341501827366739	0.600022878142987	0.0446159231872316	0.399977121857013	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mdfA, cmr; MFS transporter, DHA1 family, multidrug/chloramphenicol efflux transport protein	pink	notsig
K19275	0.511020878542237	0.493340213427884	0.0387489470860329	0.614580412696113	0.0507993459832936	0.385419587303887	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aac3-II; aminoglycoside 3-N-acetyltransferase II [EC:2.3.1.81]	pink	notsig
K18816	0.48891983781736	0.47126618342775	0.0392345122267703	0.616047582506448	0.0530557817451945	0.383952417493552	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aac6-I, aacA7; aminoglycoside 6'-N-acetyltransferase I [EC:2.3.1.82]	pink	notsig
K14336	0.513610732562295	0.493340213427884	0.0445499438780552	0.631129270197832	0.058092459855238	0.368870729802168	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	rlmA2; 23S rRNA (guanine748-N1)-methyltransferase [EC:2.1.1.188]	pink	notsig
K18131	0.513610732562295	0.493340213427884	0.0445499438780552	0.631129270197832	0.058092459855238	0.368870729802168	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mexR; MarR family transcriptional regulator, repressor of the mexAB-oprM multidrug resistance operon	pink	notsig
K19300	0.508108807370271	0.487076266343258	0.0460436117751899	0.635056152934241	0.0609897844839042	0.364943847065759	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aph3-II; aminoglycoside 3'-phosphotransferase II [EC:2.7.1.95]	pink	notsig
K18900	0.508835318799223	0.484961139727345	0.0531337343741075	0.651802236382318	0.0693296653144433	0.348197763617682	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	bpeT; LysR family transcriptional regulator, regulator for bpeEF and oprC	pink	notsig
K07644	4.82437092914172	4.54724970740696	0.0531592714776018	0.651856400216479	0.0853466049888236	0.348143599783521	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	cusS, copS, silS; two-component system, OmpR family, heavy metal sensor histidine kinase CusS [EC:2.7.13.3]	pink	notsig
K19273	0.497288150687302	0.465633823323544	0.0715392122731821	0.682478666183838	0.094886196777045	0.317521333816162	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	sat4; streptothricin acetyltransferase [EC:2.3.-.-]	pink	notsig
K19279	0.528389175106579	0.493340213427884	0.0766628799540813	0.688548386833115	0.0990180210791804	0.311451613166885	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	ant9; aminoglycoside 9-adenylyltransferase [EC:2.7.7.-]	pink	notsig
K19272	0.518777875196138	0.483588907844241	0.0783057808572342	0.690326583830472	0.101335799299976	0.309673416169528	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aph3-I; aminoglycoside 3'-phosphotransferase I [EC:2.7.1.95]	pink	notsig
K19063	0.508108807370271	0.467232333098651	0.0899873405679998	0.700938859667439	0.120997357407547	0.299061140332561	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	sat2; streptothricin acetyltransferase [EC:2.3.-.-]	pink	notsig
K18139	145.908334958003	133.555666600603	0.151634751548758	0.68282982135318	0.127621109988475	0.31717017864682	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	oprM, emhC, ttgC, cusC, adeK, smeF, mtrE, cmeC, gesC; outer membrane protein, multidrug efflux system	pink	notsig
K19078	8.54193601262303	7.64525506229506	0.11601813729697	0.70912964110959	0.159998457011421	0.29087035889041	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	graR; two-component system, OmpR family, response regulator protein GraR	pink	notsig
K18142	5.00828357254347	4.4398825385677	0.0946310596885582	0.704146608061556	0.173794741819776	0.295853391938444	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	acrF; multidrug efflux pump	pink	notsig
K00638	1.3715733639525	1.2103678179363	0.093554699458895	0.703459645848804	0.180386258579967	0.296540354151196	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	catB; chloramphenicol O-acetyltransferase type B [EC:2.3.1.28]	pink	notsig
K18555	0.609424931604241	0.53260283424222	0.130601232462029	0.702328233988887	0.194388416097105	0.297671766011113	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	qnr, mcbG; fluoroquinolone resistance protein	pink	notsig
K18346	1.66517534970464	1.42935287208935	0.111326871824962	0.709574805596858	0.220311980575504	0.290425194403142	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanW; vancomycin resistance protein VanW	pink	notsig
K02547	12.2899075336798	10.4305060704882	0.12876122884777	0.703602960063701	0.236664904583862	0.296397039936299	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mecR1; methicillin resistance protein	pink	notsig
K03740	3.62995876672059	2.95722926408794	0.148157638125827	0.686297856994282	0.295707065399186	0.313702143005718	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dltD; D-alanine transfer protein	pink	notsig
K18231	56.5323327934082	41.9719226760203	0.282492382184477	0.66223261099489	0.429651678080892	0.33776738900511	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	msr, vmlR; macrolide transport system ATP-binding/permease protein	pink	notsig
K22346	0.796070887215603	0.590708145540314	0.202834969774742	0.655457414418964	0.430451397163815	0.344542585581036	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	blaSME; beta-lactamase class A SME [EC:3.5.2.6]	pink	notsig
K07690	1.32619668348342	0.976756913633412	0.140337751994538	0.694050535030105	0.441223285084002	0.305949464969895	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	evgA, bvgA; two-component system, NarL family, response regulator EvgA	pink	notsig
K19883	5.83626899027091	4.15133702286814	0.29343399117634	0.662241405797285	0.491470317068687	0.337758594202715	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aacA-aphD; bifunctional aminoglycoside 6'-N-acetyltransferase / aminoglycoside 2''-phosphotransferase [EC:2.3.1.82 2.7.1.190]	pink	notsig
K18141	3.67461924023612	2.4972276142163	0.190244329126848	0.657810215546179	0.557267443070577	0.342189784453821	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	acrE; membrane fusion protein, multidrug efflux system	pink	notsig
K07637	0.761779669331281	0.512096899540499	0.341874490141776	0.661038971156102	0.572956960811115	0.338961028843898	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	phoQ; two-component system, OmpR family, sensor histidine kinase PhoQ [EC:2.7.13.3]	pink	notsig
K19077	12.4810890557529	8.36023883270227	0.389057631327048	0.662776651936749	0.578127761696213	0.337223348063251	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	graS; two-component system, OmpR family, sensor histidine kinase GraS [EC:2.7.13.3]	pink	notsig
K00662	8.1999528208038	5.41540292888431	0.244220679367253	0.660407807593954	0.598546924633008	0.339592192406046	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aacC; aminoglycoside 3-N-acetyltransferase [EC:2.3.1.81]	pink	notsig
K07665	192.653196381153	116.179635107221	0.818600237640318	0.791209397468574	0.729648918674369	0.208790602531426	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	cusR, copR, silR; two-component system, OmpR family, copper resistance phosphate regulon response regulator CusR	pink	notsig
K18220	397.73234395679	237.588243656479	1.22002319484819	0.919083543451398	0.743334437733266	0.080916456548602	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tetM, tetO; ribosomal protection tetracycline resistance protein	pink	notsig
K08170	22.5405226525311	11.8734666153753	0.448422480793752	0.655943392534501	0.924779757665392	0.344056607465499	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	norB, norC; MFS transporter, DHA2 family, multidrug resistance protein	pink	notsig
K03739	1.95491028150499	0.939748482169705	0.45853670533264	0.658445225397976	1.05675581290114	0.341554774602024	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dltB; membrane protein involved in D-alanine export	pink	notsig
K07260	224.46070775111	106.151584552483	1.24125589556202	0.921461062420914	1.08033701382702	0.0785389375790857	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanY; zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]	pink	notsig
K15739	4.48807116100269	1.92389960276776	0.614748491279195	0.705189591530888	1.222062035772	0.294810408469112	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanB, vanA, vanD; D-alanine---(R)-lactate ligase [EC:6.1.2.1]	pink	notsig
K08168	111.016302331471	44.8416635012564	0.828098706933682	0.793309019885054	1.30785984230726	0.206690980114946	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tetB; MFS transporter, DHA2 family, metal-tetracycline-proton antiporter	pink	notsig
K00561	2102.64394037478	716.901478883219	0.759790888716796	0.795388387894856	1.55235779279262	0.204611612105144	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	ermC, ermA; 23S rRNA (adenine-N6)-dimethyltransferase [EC:2.1.1.184]	pink	notsig
K18698	1.94167309590197	0.601047343606173	0.636583786081615	0.726712210824076	1.69174978661161	0.273287789175924	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	blaTEM; beta-lactamase class A TEM [EC:3.5.2.6]	pink	notsig
K15632	81.0345197701452	8.34257126187967	0.994062608398314	0.89561563192349	3.27997260035992	0.10438436807651	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	cfr; 23S rRNA (adenine-C8)-methyltransferase [EC:2.1.1.224]	pink	notsig
